ts,http_active,jvm_threads_live,hikari_active,hikari_pending,hikari_timeout_count,gc_pause_total_s,gc_pause_max_s,jvm_mem_used,mysql_threads_connected,mysql_threads_running
2026-04-22T17:57:24Z,1.0,48.0,0.0,0.0,0.0,0.594,0.103,317618432,11,2
2026-04-22T17:57:29Z,1.0,49.0,0.0,0.0,0.0,0.594,0.103,3.5164468E+8,11,2
2026-04-22T17:57:35Z,1.0,50.0,0.0,0.0,0.0,0.613,0.103,240800856,11,2
2026-04-22T17:57:41Z,1.0,50.0,0.0,0.0,0.0,0.613,0.103,276014632,11,2
2026-04-22T17:57:46Z,1.0,49.0,0.0,0.0,0.0,0.613,0.103,307927632,11,2
2026-04-22T17:57:52Z,1.0,51.0,0.0,0.0,0.0,0.613,0.103,3.4516108E+8,11,2
2026-04-22T17:57:57Z,1.0,51.0,0.0,0.0,0.0,0.613,0.103,3.7820812E+8,11,2
2026-04-22T17:58:03Z,1.0,55.0,0.0,0.0,0.0,0.656,0.103,268011968,11,2
2026-04-22T17:58:09Z,1.0,55.0,0.0,0.0,0.0,0.656,0.103,304193928,11,2
2026-04-22T17:58:14Z,1.0,59.0,0.0,0.0,0.0,0.656,0.103,338068752,11,2
2026-04-22T17:58:20Z,1.0,66.0,0.0,0.0,0.0,0.656,0.103,376011224,11,2
2026-04-22T17:58:26Z,1.0,67.0,0.0,0.0,0.0,0.692,0.103,254486496,11,2
2026-04-22T17:58:32Z,1.0,67.0,0.0,0.0,0.0,0.692,0.103,291400752,11,2
2026-04-22T17:58:37Z,1.0,67.0,5.0,0.0,0.0,0.692,0.103,327296624,11,2
2026-04-22T17:58:43Z,1.0,67.0,0.0,0.0,0.0,0.692,0.103,357934672,11,2
2026-04-22T17:58:49Z,1.0,67.0,0.0,0.0,0.0,0.692,0.103,395089824,11,2
2026-04-22T17:58:55Z,1.0,66.0,0.0,0.0,0.0,0.824,0.132,280297232,11,2
2026-04-22T17:59:00Z,1.0,67.0,0.0,0.0,0.0,0.824,0.132,310320552,11,2
2026-04-22T17:59:06Z,24.0,68.0,0.0,0.0,0.0,0.824,0.132,3.4905484E+8,11,2
2026-04-22T17:59:11Z,1.0,68.0,0.0,0.0,0.0,0.824,0.132,379060024,11,2
2026-04-22T17:59:16Z,1.0,68.0,0.0,0.0,0.0,0.85,0.132,2.6310388E+8,11,2
2026-04-22T17:59:23Z,3.0,68.0,0.0,0.0,0.0,0.85,0.132,300153016,11,2
2026-04-22T17:59:28Z,1.0,68.0,0.0,0.0,0.0,0.85,0.132,334183472,11,2
2026-04-22T17:59:35Z,1.0,69.0,0.0,0.0,0.0,0.85,0.132,370168024,11,2
2026-04-22T17:59:40Z,3.0,69.0,0.0,0.0,0.0,0.883,0.132,252935344,11,2
2026-04-22T17:59:46Z,1.0,69.0,0.0,0.0,0.0,0.883,0.132,279960568,11,2
2026-04-22T17:59:52Z,1.0,69.0,0.0,0.0,0.0,0.883,0.132,315295712,11,2
2026-04-22T17:59:58Z,2.0,68.0,0.0,0.0,0.0,0.883,0.132,3.5228236E+8,11,2
2026-04-22T18:00:04Z,3.0,69.0,0.0,0.0,0.0,0.883,0.132,389338216,11,2
2026-04-22T18:00:10Z,1.0,69.0,0.0,0.0,0.0,0.9129999999999999,0.132,274738624,11,2
2026-04-22T18:00:16Z,1.0,69.0,0.0,0.0,0.0,0.9129999999999999,0.132,310712504,11,2
2026-04-22T18:00:22Z,1.0,69.0,0.0,0.0,0.0,0.9129999999999999,0.132,345703968,11,2
2026-04-22T18:02:30Z,1.0,70.0,0.0,0.0,0.0,1.1360000000000001,0.128,3.4221968E+8,11,2
2026-04-22T18:02:37Z,3.0,69.0,0.0,0.0,0.0,1.1360000000000001,0.128,381051296,11,2
2026-04-22T18:02:42Z,1.0,69.0,0.0,0.0,0.0,1.193,0.128,269374904,11,2
2026-04-22T18:02:48Z,1.0,70.0,0.0,0.0,0.0,1.193,0.128,314656248,11,2
2026-04-22T18:02:54Z,1.0,71.0,0.0,0.0,0.0,1.193,0.128,3.6083896E+8,11,2
2026-04-22T18:03:00Z,1.0,71.0,0.0,0.0,0.0,1.2220000000000002,0.128,2.6985316E+8,11,2
2026-04-22T18:03:05Z,1.0,72.0,0.0,0.0,0.0,1.2220000000000002,0.128,330709736,11,2
2026-04-22T18:03:11Z,1.0,71.0,0.0,0.0,0.0,1.2220000000000002,0.128,396961496,11,2
2026-04-22T18:03:16Z,2.0,71.0,0.0,0.0,0.0,1.2710000000000001,0.128,309411656,11,2
2026-04-22T18:03:22Z,1.0,72.0,0.0,0.0,0.0,1.2710000000000001,0.128,370297952,11,2
2026-04-22T18:03:28Z,1.0,72.0,0.0,0.0,0.0,1.3010000000000002,0.128,282654448,11,2
2026-04-22T18:03:33Z,1.0,72.0,0.0,0.0,0.0,1.3010000000000002,0.128,348770152,11,2
2026-04-22T18:03:39Z,1.0,72.0,0.0,0.0,0.0,1.359,0.128,265687208,11,2
2026-04-22T18:03:45Z,2.0,72.0,0.0,0.0,0.0,1.359,0.128,3.3495212E+8,11,5
2026-04-22T18:03:51Z,4.0,72.0,1.0,0.0,0.0,1.552,0.193,264841704,11,2
2026-04-22T18:04:00Z,5.0,87.0,4.0,0.0,0.0,1.552,0.193,3.6480096E+8,11,2
2026-04-22T18:04:11Z,1.0,95.0,0.0,0.0,0.0,1.741,0.193,335773416,11,2
2026-04-22T18:04:17Z,1.0,95.0,0.0,0.0,0.0,1.741,0.193,403481832,11,2
2026-04-22T18:04:23Z,1.0,95.0,0.0,0.0,0.0,1.7690000000000001,0.193,315488688,11,2
2026-04-22T18:04:29Z,4.0,96.0,0.0,0.0,0.0,1.7690000000000001,0.193,380524016,11,2
2026-04-22T18:04:35Z,1.0,95.0,2.0,0.0,0.0,1.794,0.193,2.9422584E+8,11,2
2026-04-22T18:04:40Z,1.0,95.0,0.0,0.0,0.0,1.794,0.193,3.5723956E+8,11,2
2026-04-22T18:04:46Z,1.0,96.0,0.0,0.0,0.0,1.848,0.193,2.6259952E+8,11,2
2026-04-22T18:04:52Z,1.0,95.0,0.0,0.0,0.0,1.848,0.193,3.3612344E+8,11,2
2026-04-22T18:04:57Z,1.0,96.0,0.0,0.0,0.0,1.848,0.193,257129512,11,2
2026-04-22T18:05:03Z,2.0,95.0,5.0,0.0,0.0,1.871,0.193,325310376,11,2
2026-04-22T18:05:11Z,1.0,94.0,0.0,0.0,0.0,1.897,0.193,2.75016E+8,11,2
2026-04-22T18:05:17Z,1.0,94.0,0.0,0.0,0.0,1.897,0.193,341121344,11,2
2026-04-22T18:05:25Z,1.0,103.0,0.0,0.0,0.0,1.9460000000000002,0.193,265046904,11,2
2026-04-22T18:05:31Z,1.0,103.0,0.0,0.0,0.0,1.9460000000000002,0.193,331110312,11,2
2026-04-22T18:05:37Z,1.0,103.0,0.0,0.0,0.0,1.9460000000000002,0.193,400330136,11,2
2026-04-22T18:05:43Z,1.0,102.0,0.0,0.0,0.0,1.99,0.193,328946968,11,2
2026-04-22T18:05:49Z,2.0,103.0,0.0,0.0,0.0,1.99,0.193,401351344,11,2
2026-04-22T18:05:56Z,7.0,103.0,0.0,0.0,0.0,2.126,0.189,330340968,11,2
2026-04-22T18:06:05Z,1.0,102.0,0.0,0.0,0.0,2.177,0.189,277140608,11,2
2026-04-22T18:06:12Z,7.0,103.0,0.0,0.0,0.0,2.177,0.189,3.569526E+8,11,2
2026-04-22T18:06:20Z,1.0,102.0,0.0,0.0,0.0,2.319,0.189,2.9653432E+8,11,2
2026-04-22T18:06:27Z,1.0,101.0,3.0,0.0,0.0,2.319,0.189,378392752,11,2
2026-04-22T18:06:32Z,1.0,101.0,0.0,0.0,0.0,2.3569999999999998,0.189,288394632,11,2
2026-04-22T18:06:38Z,1.0,101.0,0.0,0.0,0.0,2.3569999999999998,0.189,350278912,11,2
2026-04-22T18:06:45Z,1.0,101.0,3.0,0.0,0.0,2.372,0.189,274079736,11,2
2026-04-22T18:06:50Z,1.0,102.0,0.0,0.0,0.0,2.372,0.189,334901496,11,2
2026-04-22T18:08:01Z,1.0,107.0,0.0,0.0,0.0,2.513,0.142,3.7980448E+8,11,7
2026-04-22T18:08:06Z,1.0,107.0,0.0,0.0,0.0,2.534,0.142,297966008,11,2
2026-04-22T18:08:12Z,1.0,107.0,5.0,0.0,0.0,2.534,0.142,3.7772076E+8,11,2
2026-04-22T18:08:18Z,1.0,106.0,1.0,0.0,0.0,2.6479999999999997,0.142,311435368,11,2
2026-04-22T18:08:24Z,1.0,106.0,0.0,0.0,0.0,2.6479999999999997,0.142,413261352,11,2
2026-04-22T18:08:30Z,1.0,107.0,0.0,0.0,0.0,2.73,0.142,370110504,11,2
2026-04-22T18:08:36Z,5.0,109.0,0.0,0.0,0.0,2.7529999999999997,0.142,399207904,11,2
2026-04-22T18:10:58Z,1.0,121.0,0.0,0.0,0.0,3.6279999999999997,0.144,386980848,11,2
2026-04-22T18:11:04Z,1.0,121.0,0.0,0.0,0.0,3.65,0.144,363995608,11,2
2026-04-22T18:11:09Z,8.0,122.0,0.0,0.0,0.0,3.6639999999999997,0.144,348471144,11,2
2026-04-22T18:11:17Z,1.0,122.0,0.0,0.0,0.0,3.6959999999999997,0.144,356015248,11,2
2026-04-22T18:11:23Z,1.0,122.0,1.0,0.0,0.0,3.735,0.144,3.5410324E+8,11,2
2026-04-22T18:11:29Z,1.0,122.0,0.0,0.0,0.0,3.759,0.144,351058864,11,2
2026-04-22T18:11:35Z,1.0,123.0,0.0,0.0,0.0,3.783,0.144,323884608,11,3
2026-04-22T18:11:41Z,1.0,123.0,0.0,0.0,0.0,3.806,0.144,311916008,11,2
2026-04-22T18:11:46Z,1.0,124.0,0.0,0.0,0.0,3.8249999999999997,0.144,2.9391872E+8,11,2
2026-04-22T18:11:52Z,1.0,124.0,0.0,0.0,0.0,3.8249999999999997,0.144,416636072,11,2
2026-04-22T18:11:57Z,1.0,124.0,0.0,0.0,0.0,3.8369999999999997,0.05,387425488,11,2
2026-04-22T18:12:03Z,5.0,124.0,0.0,0.0,0.0,3.877,0.05,3.6779696E+8,11,2
2026-04-22T18:12:09Z,1.0,124.0,0.0,0.0,0.0,4.3759999999999994,0.45,3.18946E+8,11,2
2026-04-22T18:12:15Z,1.0,124.0,0.0,0.0,0.0,4.396,0.45,3.157002E+8,11,2
2026-04-22T18:12:21Z,1.0,124.0,0.0,0.0,0.0,4.417,0.45,294091488,11,4
2026-04-22T18:12:27Z,1.0,124.0,0.0,0.0,0.0,4.429,0.45,2.8578028E+8,11,2
2026-04-22T18:12:33Z,1.0,124.0,2.0,0.0,0.0,4.446,0.45,273454792,11,2
2026-04-22T18:12:38Z,1.0,125.0,0.0,0.0,0.0,4.446,0.45,401390016,11,2
2026-04-22T18:12:44Z,1.0,125.0,0.0,0.0,0.0,4.467,0.45,378262128,11,2
2026-04-22T18:12:50Z,1.0,125.0,0.0,0.0,0.0,4.49,0.45,363045984,11,3
2026-04-22T18:12:55Z,1.0,125.0,0.0,0.0,0.0,4.514,0.45,325766448,11,2
2026-04-22T18:13:01Z,1.0,125.0,0.0,0.0,0.0,4.532,0.45,3.1473252E+8,11,2
2026-04-22T18:13:06Z,15.0,125.0,0.0,0.0,0.0,4.551,0.45,293224456,11,2
2026-04-22T18:13:12Z,1.0,125.0,0.0,0.0,0.0,4.551,0.45,414902536,11,2
2026-04-22T18:13:18Z,1.0,125.0,0.0,0.0,0.0,4.6129999999999995,0.45,404057176,11,2
2026-04-22T18:13:24Z,1.0,125.0,0.0,0.0,0.0,4.676,0.45,2.7692028E+8,11,2
2026-04-22T18:13:33Z,1.0,125.0,0.0,0.0,0.0,4.757,0.45,3.3150868E+8,11,2
2026-04-22T18:13:39Z,1.0,125.0,0.0,0.0,0.0,4.777,0.45,328895608,11,2
2026-04-22T18:13:45Z,5.0,125.0,0.0,0.0,0.0,4.802,0.45,352730072,11,2
2026-04-22T18:13:51Z,1.0,126.0,0.0,0.0,0.0,4.865,0.45,408499832,11,4
2026-04-22T18:13:57Z,6.0,125.0,6.0,0.0,0.0,4.946,0.45,344490472,11,2
2026-04-22T18:14:03Z,4.0,125.0,0.0,0.0,0.0,5.0489999999999995,0.45,318012584,11,2
2026-04-22T18:14:10Z,1.0,125.0,2.0,0.0,0.0,5.127,0.45,352452128,11,3
2026-04-22T18:14:16Z,12.0,145.0,0.0,0.0,0.0,5.389,0.45,414178616,11,3
2026-04-22T18:14:32Z,199.0,240.0,9.0,8.0,0.0,7.649,0.757,322038344,11,2
2026-04-22T18:14:42Z,69.0,240.0,7.0,11.0,0.0,7.787,0.757,438548312,11,2
2026-04-22T18:19:33Z,1.0,236.0,0.0,0.0,0.0,10.692,0.1,382305296,11,2
2026-04-22T18:19:39Z,2.0,236.0,10.0,4.0,0.0,10.725000000000001,0.1,434841072,11,2
2026-04-22T18:19:45Z,1.0,236.0,0.0,0.0,0.0,10.762,0.1,489360304,11,2
2026-04-22T18:19:51Z,7.0,236.0,0.0,0.0,0.0,10.806000000000001,0.1,3.5987704E+8,11,2
2026-04-22T18:19:56Z,1.0,237.0,0.0,0.0,0.0,10.837000000000002,0.1,391018784,11,2
2026-04-22T18:20:02Z,1.0,236.0,0.0,0.0,0.0,10.866000000000001,0.1,418782232,11,2
2026-04-22T18:20:08Z,1.0,236.0,0.0,0.0,0.0,10.913,0.1,452300736,11,2
2026-04-22T18:20:14Z,1.0,236.0,0.0,0.0,0.0,10.973,0.1,435635648,11,2
2026-04-22T18:20:19Z,3.0,235.0,0.0,0.0,0.0,10.999,0.1,3.9124808E+8,11,2
2026-04-22T18:20:25Z,3.0,235.0,0.0,0.0,0.0,11.017000000000001,0.1,346012824,11,3
2026-04-22T18:20:30Z,1.0,235.0,0.0,0.0,0.0,11.017000000000001,0.1,457166488,11,2
2026-04-22T18:20:36Z,1.0,235.0,0.0,0.0,0.0,11.047,0.1,395031024,11,2
2026-04-22T18:20:41Z,1.0,234.0,0.0,0.0,0.0,11.071000000000002,0.1,340658544,11,2
2026-04-22T18:20:47Z,1.0,232.0,1.0,0.0,0.0,11.071000000000002,0.1,464390512,11,2
2026-04-22T18:20:52Z,1.0,231.0,0.0,0.0,0.0,11.103000000000002,0.1,349047264,11,2
2026-04-22T18:20:58Z,2.0,231.0,0.0,0.0,0.0,11.103000000000002,0.074,414060512,11,2
